Gépcoop cikkszám;  Cikknév;Iron trade;Csavarda;Koelner;Mekrs;Fabory;Ferdinand;Reyher;Hopefix;Fastbolt;Schafer;King;Wasi
00210100L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X100;10013010010000005000;10013010010000005000;61025;08555.18.02.100.100;;;;;;;;
00210100S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X100;;10010010010000005000;52467;;;;;;;;;
00210120L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X120;;10013010012000005000;59163;08555.18.02.100.120;;;;D7507T10120C1;;;;
00210120S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X120;;10010010012000005000;52468;08556.18.02.100.120;;;;;;;;
00210140L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X140;10013010014000005000;10013010014000005000;59164;08555.18.02.100.140;;;;;;;;
00210140LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X140;;;-;;;;;;;;;
00210140S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X140;;10010010014000005000;04423;;;;;;;;;
00210160L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X160;10013010016000005000;10013010016000005000;59165;08555.18.02.100.160;;;;;;;;
00210160S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X160;;10010010016000005000;52469;;;;;;;;;
00210180L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X180;;10013010018000005000;59166;;;;;;;;;
00210180LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X180;;;-;;;;;;;;;
00210180S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X180;;10010010018000005000;57261;;;;;;;;;
00210200L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X200;10013010020000005000;10013010020000005000;59167;08555.18.02.100.200;;;;;;;;
00210200LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X200;;;-;;;;;;;;;
00210200S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X200;;10010010020000005000;04602;;;;;;;;;
00210220L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X220;;10013010022000005000;59168;08555.18.02.100.220;;;;;;;;
00210220S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X220;;10010010022000005000;57262;;;;;;;;;
00210240L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X240;10013010024000005000;10013010024000005000;59169;08555.18.02.100.240;;;;;;;;
00210240LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X240;;;-;;;;;;;;;
00210240S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X240;;10010010024000005000;04603;;;;;;;;;
00210260L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X260;10013010026000005000;10013010026000005000;59170;;;;;;;;;
00210260LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X260;;;-;;;;;;;;;
00210260S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X260;;10010010026000005000;52470;;;;;;;;;
00210280L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X280;10013010028000005000;10013010028000005000;59171;08555.18.02.100.280;;;;;;;;
00210280LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X280;;;-;;;;;;;;;
00210280S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X280;;10010010028000005000;57263;08556.18.02.100.280;;;;;;;;
00210300L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X300;10013010030000005000;10013010030000005000;59172;;;;;;;;;
00210300S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X300;;10010010030000005000;52471;;;;;;;;;
00210300SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 10X300 SPEED;;;-;;;;;;;;;
00210320L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X320;;10013010032000005000;59173;;;;;;;;;
00210340L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X340;10013010034000005000;10013010034000005000;59174;08555.18.02.100.340;;;;;;;;
00210340S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X340;;10010010034000005000;57265;;;;;;;;;
00210360L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X360;10013010036000005000;10013010036000005000;59175;08555.18.02.100.360;;;;;;;;
00210360S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X360;;10010010036000005000;57266;;;;;;;;;
00210380S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X380;;10010010038000005000;57267;;;;;;;;;
00210400L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X400;10013010040000005000;10013010040000005000;59177;08555.18.02.100.400;;;;;;;;
00210400S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X400;;10010010040000005000;57268;;;;;;;;;
0021080L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X80;10013010008000005000;10013010080000005000;61024;;;;;;;;;
0021080S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X80;10010010008000005000;10010010080000005000;59853;;;;;;;;;
0023535S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-15 HORGANYZOTT SÁRGA 3.5X35/20;;10010035003500005000;6130211;;;;;;;;;
0023540S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-15 HORGANYZOTT SÁRGA 3.5X40/25;;10010035004000005000;52914;;;;;;;;;
0023550S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-15 HORGANYZOTT SÁRGA 3.5X50/30;10010003505000005000;10010035005000005000;52915;;;;;D7507Z35050C1;;;;
002425LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 4X25 A2;;;;;;;;;;9250240 25/18;;
002430S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X30;10010004003000005000;10010004003000005000;52919;08556.18.02.040.030;;;;;;;;
002435S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X35;10010004003500005000;10010004003500005000;612899;;;;;;;;;
002440S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X40;10010004004000005000;10010004004000005000;52904;08556.18.02.040.040;;;;;;;;
002445S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X45;10010004004500005000;10010004004500005000;612900;08556.18.02.040.045;;;;;;;;
002450S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X50;10010004005000005000;10010004005000005000;52920;08556.18.02.040.050;;;;;;;;
0024545S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4.5X45;;10010045045000005000;70234;;;;;D7507Z45045C1;;;;
0024550S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4.5X50;10010004505000005000;10010045005000005000;612901;08556.18.02.045.050;;;;;;;;
0024560S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4.5X60;10010004506000005000;10010045006000005000;612902;08556.18.02.045.060;;;;;;;;
0024570S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4.5X70;10010004507000005000;10010045070000005000;612903;08556.18.02.045.070;;;;;;;;
0024580S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4.5X80;10010004508000005000;10010045008000005000;6130490;08556.18.02.045.080;;;;;;;;
002460S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X60;10010004006000005000;10010004006000005000;52921;08556.18.02.040.060;;;;;;;;
002470S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X70;10010004007000005000;10010004007000005000;52922;08556.18.02.040.070;;;;;;;;
002480S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-20 HORGANYZOTT SÁRGA 4X80;;10010004008000005000;612906;08556.18.02.040.080;;;;;;;;
0025100S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X100;10010005010000005000;10010005010000005000;52930;08556.18.02.050.100;;;;D7507Z50100C1;;;;
0025120S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X120;10010005012000005000;10010005012000005000;612905;08556.18.02.050.120;;;;;;;;
002535S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT  SÁRGA 5X35;;;-;;;;890910190050035;;;;;
002540S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X40;10010005004000005000;;52925;08556.18.02.050.040;;;;;;;;
002540SF;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT FEHÉR 5X40;;;-;;;;;;;;;
002550S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X50;10010005005000005000;10010005005000005000;52926;08556.18.02.050.050;;;;;;;;
002555S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X55;;;-;;;;;;;;;
002560S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X60;10010005006000005000;10010005006000005000;52927;08556.18.02.050.060;;;;;;;;
002570S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X70;10010005007000005000;10010005007000005000;52928;08556.18.02.050.070;;;;D7507Z50070C1;;;;
002580S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X80;10010005008000005000;10010005008000005000;52929;08556.18.02.050.080;;;;D7507Z50080C1;;;;
002590S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-25 HORGANYZOTT SÁRGA 5X90;10010005009000005000;10010005009000005000;612904;08556.18.02.050.090;;;;;;;;
0026100L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X100;10013006010000005000;10013006010000005000;59125;08555.18.02.060.100;;;;;;;;
0026100LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 6X100 A2;;19925026010080;;;;;;;;9250260 100/70;;
0026100S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X100;10010006010000005000;10010006010000005000;57232;08556.18.02.060.100;;;;D7507Z60100C1;;;;
0026120L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X120;10013006012000005000;10013006012000005000;59126;08555.18.02.060.120;;;;;;;;
0026120LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 6X120 A2;;;;;;;;;;9250260 120/70;;
0026120S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X120;10010006012000005000;10010006012000005000;57233;08556.18.02.060.120;;;;;;;;
0026140L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X140;10013006014000005000;10013006014000005000;59127;08555.18.02.060.140;;;;;;;;
0026140S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X140;10010006014000005000;10010006014000005000;57234;;;;;;;;;
0026160L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X160;10013006016000005000;10013006016000005000;59128;;;;;;;;;
0026160S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X160;10010006016000005000;10010006016000005000;57235;;;;;;;;;
0026180L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X180;10013006018000005000;10013006018000005000;59129;08555.18.02.060.180;;;;;;;;
0026180LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT FEHÉR 6X180;;;-;;;;;;;;;
0026180S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X180;10010006018000005000;10010006018000005000;57236;08556.18.02.060.180;;;;;;;;
0026200L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X200;10013006020000005000;10013006020000005000;59130;08555.18.02.060.200;;;;;;;;
0026200S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X200;10010006020000005000;10010006020000005000;57237;08556.18.02.060.200;;;;D7507Z60200C1;;;;
0026220L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X220;10013006022000005000;10013006022000005000;59131;08555.18.02.060.220;;;;;;;;
0026220S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X220;;10010006022000005000;57238;;;;;;;;;
0026240L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X240;10013006024000005000;10013006024000005000;59132;;;;;;;;;
0026240S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X240;;10010006024000005000;57239;;;;;;;;;
0026260L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X260;;10013006026000005000;59133;08555.18.02.060.260;;;;;;;;
0026260S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X260;;10010006026000005000;6131028;08556.18.02.060.260;;;;;;;;
0026280L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X280;10013006028000005000;10013006028000005000;59134;;;;;;;;;
0026300L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X300;10013006030000005000;10013006030000005000;59135;08555.18.02.060.300;;;;;;;;
002630L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X30;10013006003000005000;10013006003000005000;-;;;;;;;;;
002640L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X40;10013006004000005000;10013006004000005000;61021;;;;;;;;;
002650L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X50;10013006005000005000;10013006005000005000;61022;08555.18.02.060.050;;;;;;;;
002650LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 6X50 A2;;;;;;;;;;9250260 50/30;;
002650S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X50;10010006005000005000;10010006005000005000;52933;08556.18.02.060.050;;;;;;;;
002660L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X60;10013006006000005000;10013006006000005000;61023;08555.18.02.060.060;;;;;;;;
002660LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 6X60 A2;;;;;;;;;;9250260 60/36;;
002660S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X60;10010006006000005000;10010006006000005000;02344;;;;;;;;;
002670L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X70;10013006007000005000;10013006007000005000;64947;08555.18.01.060.070;;;;;;;;
002670S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X70;10010006007000005000;10010006070000005000;58124;;;;;D7507Z60070C1;;;;
002680L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X80;10013006008000005000;10013006008000005000;59124;08555.18.02.060.080;;;;;;;;
002680S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-30 HORGANYZOTT SÁRGA 6X80;10010006008000005000;10010006008000005000;57231;08556.18.02.060.080;;;;;;;;
0028100L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X100;10013008010000005000;10013008010000005000;57215;08555.18.02.080.100;;;;D7507T80100C1;;;;
0028100LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 8X100 A2;;19925028010080;;;;;;;;9250280 100/80;;
0028100S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X100;10010008010000005000;10010008010000005000;02362;08556.18.02.080.100;;;;;;;;
0028100SPEED;LAPOSFEJU FASZERKEZET ÉPÍTO CSAVAR TORX-40 HORGANYZOTT 8X100 SPEED;;;;;;;;;;;;
0028100TKSL;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X100 TKS;;;-;;;;;;;;;
0028120HBS;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X120 HBS REISSER;;;;;;;;;;;;
0028120L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X120;10013008012000005000;10013008012000005000;57216;08555.18.02.080.120;;;;;;;;
0028120LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X120;;;-;;;;;;;;;
0028120S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X120;10010008012000005000;10010008012000005000;02363;;;;;;;;;
0028120SPEED;LAPOSFEJU FASZERKEZET ÉPÍTO CSAVAR TORX-40 HORGANYZOTT 8X120 SPEED;;;;;;;;;;;;
0028140L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X140;10013008014000005000;10013008014000005000;57217;08555.18.02.080.140;;;;;;;;
0028140LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X140;;;-;;;;;;;;;
0028140S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X140;10010008014000005000;10010008014000005000;02364;08556.18.02.080.140;;;;;;;;
0028140SPEED;LAPOSFEJU FASZERKEZET ÉPÍTO CSAVAR TORX-40 HORGANYZOTT 8X140 SPEED;;;;;;;;;;;;
0028150LA2;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX 8X150 A2;;;;;;;;;;9250280 150/80;;
0028160L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X160;10013008016000005000;10013008016000005000;57218;08555.18.02.080.160;;;;D7507T80160C1;;;;
0028160LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X160;;;-;;;;;;;;;
0028160S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X160;10010008016000005000;10010008016000005000;02365;;;;;;;;;
0028160SPEED;LAPOSFEJU FASZERKEZET ÉPÍTO CSAVAR TORX-40 HORGANYZOTT 8X160 SPEED;;;;;;;;;;;;
0028160TKSL;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X160 TKS;;;-;;;;;;;;;
0028180L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X180;10013008018000005000;10013008018000005000;57219;08555.18.02.080.180;;;;;;;;
0028180LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X180;;;-;;;;;;;;;
0028180S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X180;10010008018000005000;10010008018000005000;02366;;;;;;;;;
0028180SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 8X180 SPEED;;;;;;;;;;;;
0028200L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X200;10013008020000005000;10013008020000005000;57220;08555.18.02.080.200;;;;;;;;
0028200LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X200;;;-;;;;;;;;;
0028200S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X200;10010008020000005000;10010008020000005000;02367;08556.18.02.080.200;;;;;;;;
0028200SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 8X200 SPEED;;;;;;;;;;;;
0028220L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X220;10013008022000005000;10013008022000005000;57221;08555.18.02.080.220;;;;;;;;
0028220S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X220;10010008022000005000;10010008022000005000;02368;08556.18.02.080.220;;;;;;;;
0028220SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 8X220 SPEED;;;-;;;;;;;;;
0028220TKSL;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X220 TKS;;;-;;;;;;;;;
0028240L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X240;10013008024000005000;10013008024000005000;57222;08555.18.02.080.240;;;;;;;;
0028240LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X240;;;-;;;;;;;;;
0028240S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X240;10010008024000005000;10010008024000005000;02369;08556.18.02.080.240;;;;;;;;
0028240SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 8X240 SPEED;;;;;;;;;;;;
0028260L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X260;10013008026000005000;10013008026000005000;57223;;;;;;;;;
0028260LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X260;;;;;;;;;;;;
0028260S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X260;10010008026000005000;10010008026000005000;02370;08556.18.02.080.260;;;;;;;;
0028260SPEED;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT 8X260 SPEED;;;;;;;;;;;;
0028260TKSL;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X260 TKS;;;-;;;;;;;;;
0028280L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X280;10013008028000005000;10013008028000005000;57224;08555.18.02.080.280;;;;;;;;
0028280LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X280;;;-;;;;;;;;;
0028280S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X280;10010008028000005000;10010008028000005000;02371;08556.18.02.080.280;;;;;;;;
0028300L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X300;10013008030000005000;10013008030000005000;57225;08555.18.02.080.300;;;;;;;;
0028300LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X300;;;;;;;;;;;;
0028300S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X300;10010008030000005000;10010008030000005000;02372;08556.18.02.080.300;;;;;;;;
0028320L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X320;10013008032000005000;10013008032000005000;57226;;;;;;;;;
0028320S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X320;10010008032000005000;10010008032000005000;02373;;;;;;;;;
0028320SF;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X320;;;02373;;;;;;;;;
0028340L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 8X340;10013008034000005000;10013008034000005000;57227;08555.18.02.080.340;;;;D7507T80340C1;;;;
0028340LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 8X340;;;-;;;;;;;;;
